reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentimen
3b66af92-751e-4707-8dc8-35d154e13a2b,Andi Ronny Abryanto,https://play-lh.googleusercontent.com/a-/ALV-UjXOEpZu3XRyWFCsYrnDWfRU66SMF3LVMWzI45_ZmApg28lQicwZ,Bagussssssssssss,5,0,9.4.1.4,2024-06-29 23:58:00,,,9.4.1.4,1.0
aa295bc3-8a67-470a-bd67-fa68682d7c65,Irsyad Ramdhan,https://play-lh.googleusercontent.com/a-/ALV-UjUm6TjIbmQ2APIfbekF92FUtTyvy0nd4KmhO7X7JjvHbXkKctGs,LOSE STREAK MULU PADAHAL MASIH GOLD MUSUH UDAH SUSAH SEMUA,2,0,9.4.1.3,2024-06-29 23:58:00,HOK memerlukan kerja berpasukan. Pemilihan wira dan kelengkapan boleh mempengaruhi pengalaman permainan. Faktor seperti isu komunikasi dan rangkaian tidak stabil boleh menyebabkan prestasi perlawanan tunggal pemain berbeza daripada penilaian skil mereka. Anda boleh cuba berpasukan dengan kawan-kawan yang anda boleh bekerjasama untuk permainan.,6/30/2024 8:43,9.4.1.3,0.0
49dcb3e2-818c-4584-9f6c-de4faef68179,Faezya Elmira Fiqri,https://play-lh.googleusercontent.com/a-/ALV-UjU6aTfxL7mZbZP14zIwXvEjtssnCwOc5-LikPzjGS5UmCz-4Kk,Gamenya bagus dan nggak butuh penyimpanan yg banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang⭐⭐⭐⭐⭐,5,0,9.4.1.4,2024-06-29 23:58:00,,,9.4.1.4,1.0
e3ace4e5-d503-4ca9-9fff-3a5d5fdac626,Aditya Arga.s,https://play-lh.googleusercontent.com/a-/ALV-UjWOIzq5EnZym_lq2mzkMKBXxwe4DYutAbhAWzeDDz3plzdk_Qc,gm nya lebih bagus dari pada ml grafik hd,5,0,9.4.1.4,2024-06-29 23:54:00,,,9.4.1.4,1.0
c3d04a0b-81df-4bbb-abc0-b333444f6ae5,Alexa chan Alexander,https://play-lh.googleusercontent.com/a-/ALV-UjW13PdSVk-uUbmmMHLafAgZXoHuuqy-1Lj6xC_JsyS_j-kWk7A,bagus game nya,5,0,9.4.1.4,2024-06-29 23:54:00,,,9.4.1.4,1.0
547c4ac3-df3e-41c1-b957-9b02598ce72f,Debi Arif Budiman,https://play-lh.googleusercontent.com/a-/ALV-UjUPaOfLZiOt2MeEOQ6U_zYlszrEfgui5y5CTEaqp4-QsZ09fB0h1Q,Desain heronya bagus,5,0,,2024-06-29 23:53:00,,,,1.0
9fe172e6-139e-4ddb-b424-7f4928b79fac,Maman Aja,https://play-lh.googleusercontent.com/a/ACg8ocJ5sHsS-4oyakI-OaIQ4f3MYD_LU7eMI_CqcS7emZI0hHJ1vQ=mo,mantap lah game ini kesukaan ku,5,0,9.4.1.3,2024-06-29 23:50:00,,,9.4.1.3,1.0
3eb9ada8-8d74-420f-99fa-2086f99bec69,Rahmad pro,https://play-lh.googleusercontent.com/a/ACg8ocLgrvO19BuSBVUe4ikQfW2J5ephZa-TuHTV0gFrf_Ayvuhvyw=mo,hebat,5,0,9.4.1.3,2024-06-29 23:50:00,,,9.4.1.3,1.0
a5a1c1c2-b05d-4458-8137-e97773c722f9,JEJE,https://play-lh.googleusercontent.com/a-/ALV-UjVlsrEIPIXhmULAAp7LcKQt8ZpXZeT_HZrcIaiMtPkbS6uT9sSh,mantappppp,5,0,,2024-06-29 23:48:00,,,,1.0
4d9a3ea8-0575-49a6-b156-458baaf358d9,deddy lesmana,https://play-lh.googleusercontent.com/a/ACg8ocJ6SIf8WPr1PxNdc0Klpian9k5kh31f3C9m0t2mx269VDES6A=mo,mantap gamenya,5,0,9.4.1.4,2024-06-29 23:47:00,,,9.4.1.4,1.0
8b7425c6-a0c4-4498-b074-f98198008615,Ida Bagus Gede Daniswara Wicaksana,https://play-lh.googleusercontent.com/a-/ALV-UjUe6cIWzYPIXLxW9QL40izkmMZSIkaDh51Us9bgHEQa1gNteq4,Game apa ini game nyindir player ml,1,0,,2024-06-29 23:44:00,,,,0.0
8967c922-4584-456d-ab8a-20e9b0cb02d4,Hot 30i2024,https://play-lh.googleusercontent.com/a/ACg8ocL-4JO7zanPuDP9ahDFjvbfL-fx_SfsSLfyq2n4A-700OUq2w=mo,mantap,5,0,9.4.1.3,2024-06-29 23:44:00,,,9.4.1.3,1.0
2c8104ac-a7b0-4850-9dc4-8f617306b800,Lelih Zaqiah,https://play-lh.googleusercontent.com/a/ACg8ocILBfz6gOjpK07XOIxPkGBcMUhB7kEzse4vaYlvFnGUJVOHjA=mo,Bgus,5,0,,2024-06-29 23:44:00,,,,1.0
58544e29-792d-4026-a470-b811bac3c07c,Andika febriasayah,https://play-lh.googleusercontent.com/a/ACg8ocIvEBj38YGNVtH0y6e2LY7PWo-zQmZHnOR9FuHkmoTvOCnb8g=mo,Bagus gemanya,5,0,9.4.1.3,2024-06-29 23:42:00,,,9.4.1.3,1.0
5892dfc9-f127-4c30-b1ad-44947a4b8a47,Nana Nini,https://play-lh.googleusercontent.com/a-/ALV-UjWSTFEf1AaCa-GbIvwFYNAvgq0g9GUc9oPwqfyuC_7Lim3X4rI,bagus lah pokok nya,5,0,9.4.1.3,2024-06-29 23:39:00,,,9.4.1.3,1.0
6c090457-b93c-4dba-b940-c50eaec0b33a,Zulfan Ashary,https://play-lh.googleusercontent.com/a/ACg8ocIskTRbApiBxAuAwmUYaW_X-ZV-t9NJWKuavNvHRk_G1_33CjQ=mo,mirip ml,5,0,9.4.1.3,2024-06-29 23:38:00,,,9.4.1.3,1.0
cd777930-8ba7-4ab6-ab34-1e5095cbe989,Mirza Ukail Azzam,https://play-lh.googleusercontent.com/a-/ALV-UjWAgH85A38jPSbC_1OPHGefM_an7lQtL_qJZ1nlY8PsGaegBsY,Bikin lag,1,0,,2024-06-29 23:37:00,"Kamu dapat memeriksa terlebih dahulu apakah lingkungan jaringan dalam keadaan baik. Selain itu, coba tutup aplikasi yang tidak diperlukan dan kosongkan memori pada perangkat kamu untuk memastikan tersedia cukup ruang penyimpanan untuk menjalankan game. Jika masalah masih berlanjut, hubungi kami melalui dukungan pemain dalam game.",6/30/2024 8:42,,0.0
497545c3-6283-492e-a86c-6e177afb852b,Zhubaedi Anwar,https://play-lh.googleusercontent.com/a-/ALV-UjVUl4nskgLLreRHkQ42KVrYKrzkGEyxe3H9zkxMXo6ZXXQhlZE,jelek,1,0,,2024-06-29 23:37:00,,,,0.0
a4448267-94d5-46a1-ab11-227d13ed7c30,Lika Ketche2,https://play-lh.googleusercontent.com/a-/ALV-UjU-JnrfgmTNTPmAuSoqUvCT2LebuLKrzkf5VHrPSAxjNUaHeJQ,game ini sangat seru,5,0,9.4.1.4,2024-06-29 23:36:00,,,9.4.1.4,1.0
7b6877ce-e2bf-45d7-bf2a-49249577429e,muhamad Ripky,https://play-lh.googleusercontent.com/a-/ALV-UjVyH6idsSDcxoCdtvUwkE9G1HQWDfzHbtcbChEt5K-7eGQafdlb,Sangat bagus sekali,5,0,,2024-06-29 23:35:00,,,,1.0
95f7bce1-67b8-4b39-b15c-dfac3fc4c739,bapakku garena,https://play-lh.googleusercontent.com/a/ACg8ocKLKaQp2DdMFQO1FCQpAYUXaRsLhJ8jrZahdQjXy9EZkmOEig=mo,bANYAK DARK SISTEM ANJ,1,0,,2024-06-29 23:35:00,,,,0.0
e4dd5854-6c74-4a84-be21-67d0eaf9a349,Malik Akbar,https://play-lh.googleusercontent.com/a-/ALV-UjWGAT5pcKRgjLwSJH-I0N4-l-q5dy3sK6v_Lme3_ekswQMIht_s,Ni game kebanyakan stun babi,1,0,9.4.1.4,2024-06-29 23:33:00,,,9.4.1.4,0.0
8b8b5385-8f9a-49a4-a025-68e66f325728,finbrilliant,https://play-lh.googleusercontent.com/a-/ALV-UjU1OS9OrUb_ad95XydoiGl2lWWhe5i8ZMpVV0Hxi2EXZAvdu5B1,"11,12 sama ml bnyak dark sistem",1,0,9.4.1.3,2024-06-29 23:31:00,"Hai
Sistem pemadanan perlawanan kami adalah berdasarkan pemain yang sama kumpulan dengan anda dan level skil keseluruhan. Keseronokan permainan ini ialah memilih taktik yang betul dalam perlawanan. Anda boleh memilih wira dan kelengkapan yang sesuai. Kami mengesyorkan supaya anda menggunakan mikrofon untuk bercakap dengan rakan sepasukan anda.
Jim",6/30/2024 7:56,9.4.1.3,0.0
708c40f1-d506-407b-b6d8-26a784be63d6,Arifin Ipin,https://play-lh.googleusercontent.com/a-/ALV-UjXojCFejFolSOkms7LcmwXI0sVw8lPMDHNbuBF7PgxpiBivVxW5,nice,5,0,9.4.1.4,2024-06-29 23:30:00,,,9.4.1.4,1.0
195ed87a-7dfb-45c0-8a0a-3eea1a8152a3,Silva Fenix,https://play-lh.googleusercontent.com/a-/ALV-UjWIcG56kSJBlNJ-580YgDxjmDAQ1fs6x62b2ZHJIYvsg0UZAlg,"Saya mencoba bermain custom dengan AI, tapi tidak bisa dijadikan tempat berlatih karena AI terlalu bego dalam memilih lane dan juga buta map",2,0,9.4.1.3,2024-06-29 23:29:00,"Hai pemain, 
Kami telah mencatat saran kamu secara terperinci. Tim perencanaan kami senang menerima saran berharga kamu. Kami akan terus mengoptimalkan HoK. Untuk pembaruan game dan konten versi terkini, lihat informasi yang dicantumkan pada pengumuman dalam game/di situs web resmi kami, atau ikuti komunitas resmi kami. 
David
Tim Litbang HoK",6/30/2024 10:36,9.4.1.3,0.0
